pais_id,pais,anio,faena_total_pais_cabezas,peso_promedio_res,participacion_novillos_porcentual,participacion_hembras_porcentual,produccion_miles_toneladas_res_con_hueso,expo_toneladas_res_con_hueso,expo_miles_dolares,expo_dolares_tonealadas_res_con_hueso,exportacion_produccion_porcentual,mercado_interno_consumo_aparente,mercado_interno_consumo_per_capita,liniers_novillos_precio_kilo_vivo_pesos,liniers_novillos_precio_kilo_vivo_dolares,liniers_novillos_peso_kilo_vivo
32,Argentina,1990,13423578,224,41.2,40.7,3007,474078,729606,1539,15.77,2533,78.23,2906.6,0.66,460
32,Argentina,1991,13516311,211,37.2,41.1,2854,407333,730348,1793,14.27,2447,75.02,7013.3,0.75,455
32,Argentina,1992,12823907,212,38.3,40.8,2723,297118,578489,1947,10.91,2426,73.43,0.82,0.87,454
32,Argentina,1993,13216597,211,37.9,40.4,2787,281133,556362,1979,10.09,2506,74.86,0.77,0.77,449
32,Argentina,1994,13200357,209,37.9,41.7,2762,376776,727178,1930,13.64,2389,70.46,0.76,0.76,443
32,Argentina,1995,12857408,209,37.5,43.2,2688,520062,1004760,1932,19.35,2171,63.21,0.79,0.79,441
32,Argentina,1996,12916716,209,34.4,46,2694,476640,850802,1785,17.7,2225,63.84,0.81,0.82,442
32,Argentina,1997,12794717,212,36.4,42.6,2712,437852,815280,1862,16.15,2284,64.81,0.91,0.91,442
32,Argentina,1998,11267726,219,35.04,41.61,2469,295867,654383,2211.75,11.98,2207,61.94,1.06,1.06,445
32,Argentina,1999,12145029,224,37.21,40.5,2719,347599,661658,1903.51,12.78,2387,66.24,0.79,0.79,451
32,Argentina,2000,12400235,219,33.72,42.5,2719,342092,617819,1806,12.58,2391,65.63,0.87,0.87,450
32,Argentina,2001,11586732,215,30.75,42,2489,152599,215774,1414,6.13,2348,63.82,0.77,0.77,455
32,Argentina,2002,11499838,220,32.5,43.14,2526,351201,452838,1289.4,13.91,2181,58.73,1.52,0.48,453
32,Argentina,2003,12531634,213,30.53,44.29,2664,391983,577206,1472.53,14.71,2280,60.82,1.9,0.64,449
32,Argentina,2004,14331980,212,29.46,46.41,3032,631030,972522,1541.17,20.81,2404,63.49,2.01,0.68,452
32,Argentina,2005,14350320,219,32.79,43.09,3148,771427,1294966,1678.66,24.51,2379,62.26,2.25,0.77,457
32,Argentina,2006,13415160,226,28.12,41.7,3037,565057,1199615,2123,18.61,2476,64.15,2.33,0.76,483
32,Argentina,2007,14955659,216,23.65,47.5,3224,539011,1281042,2376.65,16.72,2688,68.97,2.65,0.85,480
32,Argentina,2008,14660284,214,21.59,48.59,3132,429360,1486335,3461.75,13.71,2705,68.76,2.95,0.93,483
32,Argentina,2009,16053055,210,19.68,49.25,3376,661378,1652731,2498.92,19.59,2716,68.36,3.19,0.86,484
32,Argentina,2010,11882706,221,22.67,43.37,2626,313133,1187454,3792.18,11.92,2315,57.78,6.5,1.66,482
32,Argentina,2011,10861896,230,26.1,37.4,2497,234387,1270956,5422.47,9.39,2264,55.79,8.07,1.98,482
32,Argentina,2012,11428791,227,23.07,39.7,2596,188407,1047990,5562.38,7.26,2408,58.64,8.87,1.96,481
32,Argentina,2013,12625513,223,20.09,42.15,2822,201292,1009445,5014.82,7.13,2620,63.09,9.61,1.77,474
32,Argentina,2014,12100979,221,17.9,44.97,2674,212351,1046491,4928.12,7.94,2462,58.6,15.1,1.86,473
32,Argentina,2015,12156600,224,19.91,41.56,2727,198687,866562,4361.44,7.29,2528,59.44,17.87,1.92,474
32,Argentina,2016,11720350,226,21.28,41.15,2644,230381,1029799,4469.98,8.71,2414,56.46,26.39,1.76,474
32,Argentina,2017,12616459,225,20.56,42.86,2844,313105,1302481,4159.88,11.01,2531,58.54,29.48,1.76,473
32,Argentina,2018,13452831,228,20.07,45.47,3066,556683,1963296,3526.78,18.16,2529,57.94,37.83,1.36,472
